Date_time,Real Data,AR,LSTM univariado
2018-03-30 14:00:00,140.15,381.04929044999994,327.43094010829924
2018-03-30 15:00:00,30.36,73.43770353999997,128.19044586583973
2018-03-30 16:00:00,40.35,33.63470558,48.44862021893263
2018-03-30 17:00:00,25.47,114.03637896000001,45.206542477235196
2018-03-31 08:00:00,263.53,248.26073142999996,303.41888820648194
2018-03-31 09:00:00,157.69,423.94461038999987,461.6106600165367
2018-03-31 10:00:00,240.54,400.79413792,361.0011965972185
2018-03-31 11:00:00,527.68,414.6552915399999,335.76045905649664
2018-03-31 12:00:00,388.45,578.9916287699999,443.7727499520779
2018-03-31 13:00:00,241.87,364.6115974400001,317.97981349468233
2018-03-31 14:00:00,72.83,158.03874933999998,214.7374597737193
2018-03-31 15:00:00,33.92,42.024771129999976,104.83836998060346
