,Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
29,18,50,50,3,28650.408762644114,130.07287113544183,169.26431627086706
30,18,50,100,1,28787.563773018413,133.46824265055452,169.66898294331352
31,18,50,100,2,30003.964126539802,133.03675125376031,173.2165238265097
32,18,50,100,3,28497.770349967737,134.4799792518563,168.81282637870777
33,18,50,150,1,28727.667578071065,130.7182600688339,169.49238206500922
34,18,50,150,2,28308.747612356623,129.01457603761457,168.25203598279762
35,18,50,150,3,31239.073783881548,136.12558382857029,176.74578858881347
36,18,75,50,1,26846.94909265875,127.42151236302644,163.85038630610168
37,18,75,50,2,28617.501722777,131.887857111747,169.16708226713908
38,18,75,50,3,31609.914261397007,137.23684466463848,177.79177219825726
39,18,75,100,1,27967.801245089828,129.28027543743838,167.23576544833293
40,18,75,100,2,29322.947867152485,134.14647609483188,171.23944600223538
41,18,75,100,3,31741.862445577317,138.18309480770284,178.1624608203909
42,18,75,150,1,29604.99162903767,135.5247172912513,172.06101135654663
43,18,75,150,2,29695.8607621,134.68662462485813,172.3248698305036
44,18,75,150,3,30230.786696228875,138.29318960562824,173.8700281711281
45,18,100,50,1,28154.93058155955,131.0463975226499,167.79431033726843
46,18,100,50,2,27641.380064592304,129.77140155744618,166.25696997296777
47,18,100,50,3,35816.72832246967,148.6915003105936,189.25308008714066
48,18,100,100,1,28052.597996561035,130.79931348438237,167.48909814241952
49,18,100,100,2,29752.929391075024,136.4199999837042,172.49037477805834
50,18,100,100,3,33295.57550079965,143.00879844580874,182.47075245309767
51,18,100,150,1,27450.117504163925,127.59517915172815,165.6807698683342
52,18,100,150,2,34123.108175148445,144.1906200361318,184.72441142184874
53,18,100,150,3,42050.85925200252,159.4583407810756,205.0630616469054
54,20,50,50,1,26794.679972352973,128.0374318321546,163.69080601045673
55,20,50,50,2,29140.20798006607,130.6204131497277,170.7050320877099
56,20,50,50,3,27772.219121028207,128.66054441663954,166.64998986207053
57,20,50,100,1,30515.14518032751,137.70036929978264,174.68584710939666
58,20,50,100,2,27667.244449783655,128.64829788737828,166.3347361490788
59,20,50,100,3,29438.823411772777,136.78212433920967,171.5774560126498
60,20,50,150,1,29449.973760270586,135.82167026731702,171.60994656566555
61,20,50,150,2,26941.813411785744,129.38537424935234,164.13961560752404
62,20,50,150,3,28686.92288901635,132.34522710641224,169.37214319071583
63,20,75,50,1,26683.336384858358,125.24496598243714,163.3503485911749
64,20,75,50,2,28665.124865702055,132.3608892387814,169.307781468254
65,20,75,50,3,32661.906975313785,140.79448755317264,180.72605505381281
66,20,75,100,1,30863.191749905043,137.59862241943677,175.6792297054636
67,20,75,100,2,26917.812495182847,127.77448150316874,164.06648803208668
68,20,75,100,3,27942.60141616614,133.2947397655911,167.16040624551658
69,20,75,150,1,28553.342175165035,130.8473894463645,168.9773421946417
70,20,75,150,2,28668.898603946203,130.60632005797493,169.3189257110563
71,20,75,150,3,31174.111890281903,138.96842402882046,176.56192083878648
72,20,100,50,1,27910.031889216105,131.80683435466554,167.06295786084988
73,20,100,50,2,27467.07532746766,128.54420844713846,165.73193816361305
74,20,100,50,3,28543.111224797987,134.3489878071679,168.9470663397207
75,20,100,100,1,27871.10969943454,129.02849997414484,166.94642763304202
76,20,100,100,2,26346.886807331775,124.6993810918596,162.31724125098904
77,20,100,100,3,30665.792607741012,139.35523176193237,175.11651152230337
78,20,100,150,1,26923.804218274814,127.35115026103125,164.08474706161695
79,20,100,150,2,27262.240360223088,126.21165735456678,165.11281101181424
80,20,100,150,3,27528.217983485738,130.31949984232585,165.91629812494534
81,22,50,50,1,26665.878277942174,126.91844960611951,163.29690223008572
82,22,50,50,2,26587.452738905587,126.84926304929942,163.05659366890254
83,22,50,50,3,31128.856279603955,140.47914152185177,176.43371639118175
84,22,50,100,1,27865.67070029996,129.64749904600734,166.93013718409256
85,22,50,100,2,27052.926722648986,128.44853133518606,164.47773929212727
86,22,50,100,3,31984.714731605854,143.05035566985194,178.8427094728937
87,22,50,150,1,32052.93305711696,141.19440129138167,179.03332945883835
88,22,50,150,2,28180.210566842383,130.03277495175973,167.8696237168666
89,22,50,150,3,28269.91893951001,132.54719454854188,168.1366079695615
90,22,75,50,1,28599.556022858524,130.73658858552596,169.11403260184687
91,22,75,50,2,40124.77467995318,156.0820926724621,200.31169381729362
92,22,75,50,3,29915.5114339399,133.73377253780444,172.9610113116245
93,22,75,100,1,26741.13808144914,127.73820897103683,163.52717841829576
94,22,75,100,2,30285.69776779335,136.25377808625242,174.02786491764286
95,22,75,100,3,31978.137829526077,141.17371045299632,178.82432113537038
96,22,75,150,1,28965.931378127803,132.37952706147303,170.1938053459285
97,22,75,150,2,27507.682008439086,128.5413703122623,165.85440002737064
98,22,75,150,3,32560.39177844236,142.36552606404905,180.44498269124128
99,22,100,50,1,26136.18096697575,125.9811101470438,161.6668827155882
100,22,100,50,2,35223.39473926755,147.0869638710924,187.67896722666487
