Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
20,75,150,1,25373.48602298935,120.99728267391522,159.290571042323
20,75,150,2,29373.679487518046,131.77917235190463,171.38751263589202
20,75,150,3,28622.17424712825,130.30329190179086,169.18089208633535
20,100,50,1,28828.86245433015,129.79318317458447,169.79064301171059
20,100,50,2,25487.58364863078,122.37215213020228,159.64831238892185
20,100,50,3,24052.614188722397,120.35769801915934,155.08905244640061
20,100,100,1,24141.92066759597,118.9708424643872,155.3767056787985
20,100,100,2,27836.149792493972,127.59919159369957,166.84169081046252
20,100,100,3,26662.348343387122,125.95400220461501,163.28609353949014
20,100,150,1,29037.01589417209,129.31463902906205,170.40251140805435
20,100,150,2,25234.297377919276,123.0314396710549,158.85306851905403
20,100,150,3,26036.216742367484,125.09500888906315,161.35741923558237
22,50,50,1,25883.806535590687,123.07803308266902,160.88445088196275
22,50,50,2,26338.564828062328,128.09816117158292,162.29160430552878
22,50,50,3,24980.914714580496,122.15545699140252,158.05351851376324
22,50,100,1,26823.834828435556,127.39962012982139,163.7798364525852
22,50,100,2,26784.333470420075,125.11740835843626,163.6591991622227
22,50,100,3,24192.448581080862,120.5038755295464,155.53921878767702
22,50,150,1,25684.171898619257,122.3910586656601,160.26282132365964
22,50,150,2,24996.821873684286,123.04026109502445,158.10383257114384
22,50,150,3,25348.552130167784,123.0495956618344,159.2122863668749
22,75,50,1,24395.873661309008,120.16263202065926,156.19178487138498
22,75,50,2,25334.504525541026,121.9620988060965,159.16816429657354
22,75,50,3,26605.459814735357,124.89631236727986,163.11180158019025
22,75,100,1,26488.93551497831,127.34617809231635,162.75421811731428
22,75,100,2,32819.514946887015,139.60073113913992,181.1615713855646
22,75,100,3,25814.106602515865,124.73719832971588,160.66768997690812
22,75,150,1,24948.158150379666,121.11403902435107,157.94985960861018
22,75,150,2,27182.095325719787,126.4013096411636,164.86993457183087
22,75,150,3,24887.97987470213,120.8306905584972,157.75924655848902
22,100,50,1,24521.65814676899,119.91983421255675,156.59392755394123
22,100,50,2,26021.329307896583,123.76242471368198,161.3112807831386
22,100,50,3,28462.411149577136,129.82883024705842,168.7080648622855
22,100,100,1,24558.330042943893,122.09006891514127,156.71097614061338
22,100,100,2,31643.914178878327,139.2315965022669,177.88736374143704
22,100,100,3,25837.57103992614,123.91124226500038,160.7406950337286
22,100,150,1,27745.98144167663,128.731389872336,166.57125034554022
22,100,150,2,28532.924743148607,133.01791279395636,168.9169166873129
22,100,150,3,25328.792764248745,121.96950969269942,159.15022074835065
24,50,50,1,25555.450840569505,123.43650468267646,159.86072325799574
24,50,50,2,26216.87411148795,124.83189489010171,161.9162564768836
24,50,50,3,29479.20635504563,133.04773145831064,171.69509706175546
24,50,100,1,25244.609408844055,121.66685519237227,158.8855229680919
24,50,100,2,27046.380630464108,126.28407352934475,164.45783845856695
24,50,100,3,26926.05441171755,127.52256936688381,164.09160372096298
24,50,150,1,23986.24426178548,118.31061009672266,154.8749310307691
24,50,150,2,25387.780424013974,124.20576798246037,159.33543367378763
24,50,150,3,24533.287101834318,120.70275835230075,156.63105407879473
24,75,50,1,26247.36700702687,123.53697792021947,162.0103916637043
24,75,50,2,24909.57788170519,122.84658336565728,157.82768414224796
24,75,50,3,24963.167660187224,122.43594211390278,157.997365991295
24,75,100,1,25788.836382032947,126.07256477223943,160.58902945728562
24,75,100,2,26069.82398339805,124.36506549409567,161.46152477726096
24,75,100,3,26846.4045412487,128.30127935707674,163.84872456399745
24,75,150,1,24978.43940784316,122.42953609833415,158.04568772302255
24,75,150,2,26181.95326582144,123.93722065239574,161.8083844113816
24,75,150,3,25041.042735424817,123.2123074012038,158.2436183086851
24,100,50,1,24895.120485695104,121.93836442185021,157.781876290324
24,100,50,2,26101.120089335403,125.78493328877623,161.55841076630892
24,100,50,3,25292.102354997918,122.3902433417364,159.03490923378402
24,100,100,1,25721.182437083266,121.69430979450745,160.37824801725222
24,100,100,2,25239.83640245035,122.50172873210515,158.8705019896719
24,100,100,3,26691.798783390335,124.56739590901228,163.3762491410252
24,100,150,1,25869.37658400023,121.63029872587671,160.83959893011493
24,100,150,2,24001.622235051094,119.25042288571929,154.92456950093842
24,100,150,3,28855.90808974271,132.31540797197866,169.87026841016856
18,50,200,1,25372.222159007375,123.67198248773337,159.2866038278404
18,50,200,2,25798.282340402122,124.60594635167975,160.61843711231325
18,50,200,3,24571.5830213608,120.69775624486944,156.75325521774914
18,75,200,1,27556.727396053884,128.20670293058927,166.00219093751107
18,75,200,2,28316.357894245142,130.68700610300147,168.2746501831014
18,75,200,3,26952.747176346766,129.47456530199983,164.1729185229609
18,100,200,1,28700.030344885334,129.12393257148491,169.41083302104778
18,100,200,2,25687.70564683405,122.75715024272773,160.27384579785328
18,100,200,3,34364.61625689765,141.59421736384832,185.37695718966165
18,125,50,1,26766.395469539817,128.86325261243795,163.60438707302387
18,125,50,2,25943.63541908313,122.38392805493594,161.07028099274902
