Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
32,50,150,2,0.7722800626506068,0.6388492095837279,0.8787946646689468
32,50,150,3,0.9554481466225012,0.7079788972908373,0.9774702791504718
32,75,50,1,0.78311173689168,0.6327664090498858,0.8849360072297205
32,75,50,2,0.8121583698932571,0.6468416093322852,0.901198296654658
32,75,50,3,0.7571779221421243,0.6361408464964142,0.870159710709548
32,75,100,1,0.7635886033698934,0.6258266627479977,0.8738355699843612
32,75,100,2,0.7490347498725699,0.6177352295967227,0.865467936940803
32,75,100,3,0.7490268199659113,0.6271092395347735,0.8654633556459287
32,75,150,1,0.8192467548646142,0.6410959938326237,0.9051225082079299
32,75,150,2,0.7657889212103088,0.6390765945545244,0.8750936642498955
32,75,150,3,0.7736768000392836,0.6288624504079138,0.8795889949512122
32,100,50,1,0.7713102126169006,0.6342488442832348,0.8782426843514841
32,100,50,2,0.7674969038996518,0.6499547298574434,0.8760690063571772
32,100,50,3,0.7796671965963405,0.6311139445804403,0.882987653705498
32,100,100,1,0.7628048022708737,0.6299474755802955,0.8733869716631188
32,100,100,2,0.7560905011167753,0.620494382281841,0.8695346463004078
32,100,100,3,0.7790930478955123,0.6454028996870647,0.882662476768732
32,100,150,1,0.8096480319379096,0.6345944216475425,0.8998044409414245
32,100,150,2,0.7657806840419336,0.6272583895650855,0.8750889577876831
32,100,150,3,0.8348747739647223,0.6704527491497382,0.9137148209177316
