Local_Time,Real Data,AR,LSTM univariado,LSTM multivariado
2016-10-25 11:00:00,391.0,549.0936869999998,483.1289156079292,451.72868645191187
2016-10-25 12:00:00,840.0,563.6712980000001,550.7836428284645,504.1624022126198
2016-10-25 13:00:00,1077.0,773.7033170000002,835.4821186065675,772.5017313361169
2016-10-25 14:00:00,1013.0,846.8058470000002,870.973087668419,812.0476127862931
2016-10-25 15:00:00,859.0,722.5541299999999,757.4094974994659,702.0248317122459
2016-10-25 16:00:00,537.0,558.0685629999996,598.7448182106017,553.9260326623917
2016-10-25 17:00:00,119.0,291.147358,315.17663586139685,269.46910485625267
2016-10-26 08:00:00,196.0,82.479702,94.1977866664529,84.61388976126909
2016-10-26 09:00:00,614.0,263.7470200000001,384.97640979290014,474.1470720767975
2016-10-26 10:00:00,887.0,615.5854420000002,831.2579967379571,861.0677862763406
2016-10-26 11:00:00,1040.0,838.8116370000004,939.3476746082307,967.9406954646112
2016-10-26 12:00:00,1126.0,1001.141208,1068.4767383933067,1132.1805105805395
2016-10-26 13:00:00,1077.0,1050.8608289999997,1053.8025642037394,1105.4743337035181
2016-10-26 14:00:00,1021.0,946.3077449999997,907.995431303978,972.8972670435907
2016-10-26 15:00:00,852.0,795.3437970000001,814.6538848280908,851.6185303330423
2016-10-26 16:00:00,644.0,501.62352199999987,604.9776551723481,596.7638010978699
2016-10-26 17:00:00,281.0,312.04842799999994,378.6980330348015,350.99552023410797
2016-10-27 08:00:00,294.0,195.1817929999999,165.8767876327038,144.52395590394738
2016-10-27 09:00:00,669.0,396.53148400000015,481.0386173725128,586.5708004236221
2016-10-27 10:00:00,895.0,715.466776,872.8992843627931,1012.3822129368783
2016-10-27 11:00:00,1042.0,909.442632,950.9216893911363,1052.3292474746704
2016-10-27 12:00:00,1121.0,1040.773013,1066.9788891673088,1166.7503958940504
2016-10-27 13:00:00,1083.0,1046.7392999999997,1023.3034186959268,1151.1970086693766
2016-10-27 14:00:00,1013.0,916.1285069999997,904.4608092904092,1017.412885606289
2016-10-27 15:00:00,761.0,749.4722069999998,790.2349855899812,915.5725196003917
2016-10-27 16:00:00,533.0,462.468377,517.5033323168756,659.2017396092416
2016-10-27 17:00:00,274.0,290.356039,304.2430379539728,392.5318433046341
2016-10-28 08:00:00,174.0,251.60102599999988,271.9040091335773,205.15565335750583
2016-10-28 09:00:00,506.0,392.39002300000016,432.56877037882805,455.21715715527534
2016-10-28 10:00:00,665.0,704.8754020000001,788.1656227111818,814.6169781684877
2016-10-28 11:00:00,881.0,805.878506,770.9467595219612,806.2146339416505
2016-10-28 12:00:00,1111.0,937.144307,961.5046920180322,943.4403569698337
2016-10-28 13:00:00,696.0,1006.689227,1031.219069838524,1030.1381291747093
2016-10-28 14:00:00,665.0,638.6427209999998,594.9504826664925,630.7445467710496
