,Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
70,20,75,150,2,25665.41726518846,124.45107996829194,160.20429852281885
71,20,75,150,3,22189.770537785866,114.50849947878395,148.96231247461844
72,20,100,50,1,20709.39353534587,110.9448991621414,143.90758678869528
73,20,100,50,2,21480.10009748912,111.82462055940911,146.56090917256594
74,20,100,50,3,25761.321591593634,123.15971317933337,160.50333825685257
75,20,100,100,1,23782.213326610257,117.22572898826505,154.21482849132977
76,20,100,100,2,22753.91801756514,118.02819173363413,150.84401883258462
77,20,100,100,3,22209.194704463873,115.88513086107461,149.0274964711676
78,20,100,150,1,22142.795645187744,113.66340403989281,148.8045551896438
79,20,100,150,2,22006.987340234875,112.15677012237464,148.3475221910864
80,20,100,150,3,23318.20864866153,117.48147404102288,152.7030079882565
81,22,50,50,1,24578.447959594916,119.21182805844715,156.7751509633938
82,22,50,50,2,25511.22735450613,124.56586847577776,159.72234456864865
83,22,50,50,3,22271.53284922223,116.12565628838918,149.23649972182486
84,22,50,100,1,24563.601540926313,121.16530908179661,156.7277944109669
85,22,50,100,2,29942.204456390285,137.88633968322998,173.03815896035846
86,22,50,100,3,27276.97353829598,126.30481934471734,165.15742047602942
87,22,50,150,1,22479.042630182452,113.99214151004004,149.93012582594085
88,22,50,150,2,21724.062089554587,111.63600583303543,147.39084805222672
89,22,50,150,3,27002.032795439423,124.89097547682505,164.32295273466644
90,22,75,50,1,21609.22013526436,111.34947829344917,147.00074875749564
91,22,75,50,2,26062.069751285635,125.43481432755787,161.4375103601565
92,22,75,50,3,24416.18800815392,121.47687719314818,156.25680147806023
93,22,75,100,1,22475.419924168804,115.61145809211222,149.91804402462301
94,22,75,100,2,23546.711216009833,119.3090848715154,153.44937672082554
95,22,75,100,3,24069.584489026372,121.7982728832487,155.14375427011677
96,22,75,150,1,22073.075305640683,114.82383969953668,148.57010232762406
97,22,75,150,2,23514.899515434267,120.20701770930063,153.34568632809425
98,22,75,150,3,25640.12498293787,128.83062989409007,160.12534147641298
99,22,100,50,1,21646.649388749964,116.18941842317582,147.12800341454363
100,22,100,50,2,21809.59297390041,111.35158273038411,147.68071293808276
101,22,100,50,3,25475.690049053905,124.93718626476469,159.61105866779377
102,22,100,100,1,23023.466564937422,118.2112147985186,151.73485613047987
103,22,100,100,2,22395.305117880616,114.18822948474732,149.6506101487081
104,22,100,100,3,23166.286179162504,118.30949942392016,152.20475084294347
105,22,100,150,1,24284.266035376477,121.27037902405989,155.83409779434177
